Executor 1 1 | x: 1 | f(x): 1
Executor 1 1 | x: 1.7 | f(x): 2.89
Executor 0 1 | x: 1 | f(x): 1
Executor 0 1 | x: 1.2 | f(x): 1.44
Executor 0 1 | x: 1.4 | f(x): 1.96
Executor 0 1 | x: 1.6 | f(x): 2.56
Executor 0 1 | x: 1.8 | f(x): 3.24
Executor 0 1 | x: 2 | f(x): 4
Executor 1 2 | x: 1 | f(x): 1
Executor 1 2 | x: 1.1 | f(x): 1.21
Executor 1 2 | x: 1.2 | f(x): 1.44
Executor 1 2 | x: 1.3 | f(x): 1.69
Executor 1 2 | x: 1.4 | f(x): 1.96
Executor 1 2 | x: 1.5 | f(x): 2.25
Executor 1 2 | x: 1.6 | f(x): 2.56
Executor 1 2 | x: 1.7 | f(x): 2.89
Executor 1 2 | x: 1.8 | f(x): 3.24
Executor 1 2 | x: 1.9 | f(x): 3.61
Executor 0 2 | x: 0 | f(x): 0
Executor 0 2 | x: 0.1 | f(x): 0.01
Executor 0 2 | x: 0.2 | f(x): 0.04
Executor 0 2 | x: 0.3 | f(x): 0.09
Executor 0 2 | x: 0.4 | f(x): 0.16
Executor 0 2 | x: 0.5 | f(x): 0.25
Executor 0 2 | x: 0.6 | f(x): 0.36
Executor 0 2 | x: 0.7 | f(x): 0.49
Executor 0 2 | x: 0.8 | f(x): 0.64
Executor 0 2 | x: 0.9 | f(x): 0.81
Executor 0 2 | x: 1 | f(x): 1
Executor 1 3 | x: 1 | f(x): 0.540302
Executor 1 3 | x: 1.3 | f(x): 0.267499
Executor 1 3 | x: 1.6 | f(x): -0.0291995
Executor 1 3 | x: 1.9 | f(x): -0.32329
Executor 0 3 | x: 0 | f(x): 0
Executor 0 3 | x: 0.5 | f(x): 0.5
Executor 0 3 | x: 1 | f(x): 1
Executor 1 4 | x: 1 | f(x): 1
Executor 1 4 | x: 1.1 | f(x): 1.21
Executor 1 4 | x: 1.2 | f(x): 1.44
Executor 1 4 | x: 1.3 | f(x): 1.69
